Day Index,Sessions
2020-06-01,2277
2020-06-02,2504
2020-06-03,2492
2020-06-04,2606
2020-06-05,2677
2020-06-06,1833
2020-06-07,1971
2020-06-08,2697
2020-06-09,2677
2020-06-10,2919
2020-06-11,2692
2020-06-12,2240
2020-06-13,1699
2020-06-14,1742
2020-06-15,2368
2020-06-16,2491
2020-06-17,2346
2020-06-18,2217
2020-06-19,1925
2020-06-20,1560
2020-06-21,1595
2020-06-22,2479
2020-06-23,2349
2020-06-24,2242
2020-06-25,2973
2020-06-26,2332
2020-06-27,1561
2020-06-28,1523
2020-06-29,2409
2020-06-30,2218
2020-07-01,2042
2020-07-02,1850
2020-07-03,1666
2020-07-04,1337
2020-07-05,1521
2020-07-06,3138
2020-07-07,3384
2020-07-08,3098
2020-07-09,3029
2020-07-10,2771
2020-07-11,1546
2020-07-12,1715
2020-07-13,3028
2020-07-14,2821
2020-07-15,2746
2020-07-16,2446
2020-07-17,2444
2020-07-18,1572
2020-07-19,1713
2020-07-20,2704
2020-07-21,2508
2020-07-22,2416
2020-07-23,2124
2020-07-24,1863
2020-07-25,1387
2020-07-26,1396
2020-07-27,2078
2020-07-28,2079
2020-07-29,2368
2020-07-30,2049
2020-07-31,1812
2020-08-01,1193
2020-08-02,1354
2020-08-03,2559
2020-08-04,4095
2020-08-05,2918
2020-08-06,2240
2020-08-07,3422
2020-08-08,1689
2020-08-09,1548
2020-08-10,2846
2020-08-11,2167
2020-08-12,2048
2020-08-13,1954
2020-08-14,1776
2020-08-15,1184
2020-08-16,1118
2020-08-17,1887
2020-08-18,1958
2020-08-19,2679
2020-08-20,2093
2020-08-21,1845
2020-08-22,1086
2020-08-23,1179
2020-08-24,1720
2020-08-25,1840
2020-08-26,1898
2020-08-27,2105
2020-08-28,1573
2020-08-29,1158
2020-08-30,1148
2020-08-31,1779
2020-09-01,1752
2020-09-02,1985
2020-09-03,1706
2020-09-04,1283
2020-09-05,1053
2020-09-06,1183
2020-09-07,1370
2020-09-08,1987
2020-09-09,1926
2020-09-10,2167
2020-09-11,2105
2020-09-12,1297
2020-09-13,1364
2020-09-14,2205
